Lat,Lon,Text
1.34093916,103.77350807,"Quiche and a cuppa latte @ Carpenter and Cook http://t.co/WXhM1PTn"
-8.5420382,115.3213337,"@Gung_DyahTA. -_____-"
36.10562042,-115.15181111,"Bros (w Keith Galo) @ Piranha http://t.co/mNWBHYRC"
2.3700006,102.0164244,"Hey ,kucing aku ni sakit lagii :|"
-6.1279629,106.8893999,"booooseeen -_____________-"
47.40232394,-122.02246159,"Lol this weirdo thinks we're fighting.. 😂"
3.86805645,103.36316272,"@pieqaemily ehh ! ta baek ckap mcm tu .. d0rg ta 0n9 tu .."
-2.99139412,104.75258889,"@rizkanurjannahh iyo ini br balek"
35.551845,140.3765769,"明日から学校かぁー…いきたくない"
5.7590816,102.2778141,"Beriadah pukul 6 pahni. Hehe"
19.3676612,-99.16313793,"@CrisSanzRom jaajajajajaja sip de hecho.. Super, el lunes empiezan mis clases😭"
19.5983438,-99.0115241,"Porque no tenía que haber dicho eso para que no se lo tomara en serio y no enojarme porque lo hace. Sí, así."
33.69286287,-117.71468841,"RT @divyaprasath: You Can't See It, But You'll Be A Different Person In 10 Years http://t.co/ALWNEDjS"
35.64372076,139.60842824,"カラオケなーう、"
53.2285462,6.5193054,"@DjamillaNaomi_x betershap"
50.34526105,-4.51126629,"Had a stinking cold yesterday. Took some 'cure all' #CoconutOil and a couple of hours later felt a massive improvement...coincidence?"
37.21792959,28.36060203,"I'm at Muğla Karadenizliler Derneği http://t.co/aWGYajb6"
-6.16343,106.76364,"Sami mawon,sama" masuk mulut "@EcoNuFa: ituu minumm eeyy minummm "@syeilaMe: Kata bang aji ga bole makan anggur bisi abok "@EcoNuFa: iya laa"
51.68212839,-3.77897219,"@ricardofartura @premierleague @swansofficial @arsenal @lfc"
-25.49638484,-54.58738419,"meu cabelo é cheiroso demais gzus eu casaria com meu cabelo se pudesse"
38.69271215,-0.48673808,"No e podido dormipp"
-7.18351,108.36919,"@chandrayumas Allah takkan membiarkan hambanya menderita"
-6.29181193,106.79422522,"Teeeettt... Placebo or cardigans? RT@JimMokarmo"
43.41675899,-5.79166934,"After 3 years playing...maybe it's @VARLIONBRAND time...thanks @TENISPADELSHOP http://t.co/5v1BeQwe"
-6.15077156,106.89247744,"@rezaprabowo lu kapan state side?"
43.07869705,-87.96409875,"@neek___ lmao and we always had the gas station dude laughing!!! LMFAO"
37.742712,140.454645,"I just ousted @takao50 as the mayor of くん太郎 方木田店 on @foursquare! http://t.co/OcZzSU8c"
37.03903197,27.4300289,"@HasanBulucu1 gidicen mi knk"
43.48403316,-8.20085597,"@Silviadepablo2 Hala, silvia ha vuelto a las cosas feas"
3.557194,98.66435267,"Dreaming.. That someday, I'll share my life with you.. I'm hoping you feel the same way too.."
53.695014,-2.45814323,"Dean Saunders... A name that hasn't been thrown up so far. Good prospect and a part of the #Rovers family. If you ask me he is worth a punt."
50.23139,-5.23379,"Of to wales  #funfunfun. -.-"
-6.224128,106.802842,"Wuihh,,lumayan seger euy..biz tiduran di loker...skrg ngees kupi plus ngudut dlu akh...bru dag pulang...."
54.5271451,-6.2119989,"@JamesArthur23 whats got u up so early. Its sunday. Day of rest and all that jazz"
38.3933528,27.0772582,"Üşengeçlikten tuvalete gidemiyosan cok bensin"
43.07822004,-87.97995857,"@___Stubborn get hit by a bus"
35.8884235,139.4981019,"@yuuki522m @miki_thsk あんまり見せたくない(笑)ただえろい(笑)"
38.45900097,27.11848358,"@alpkirsan hosgeldinizzzz ozaman izmirimize 😊😊"
48.8924052,2.3152471,"Depois quero ver kkkk bromance? q @caroolineb_ @LaraMunhoz"
-7.78263872,110.37900031,"I'm at Galeria Mall (Yogyakarta, DI Yogyakarta) w/ 14 others http://t.co/4q5QXZEj"
46.83455478,35.36944529,"Лучшее место, где можно быть в воскресное утро! (@ Церковь "Слово Жизни") http://t.co/dC6PIzgA"
40.46698371,-3.56845413,"Obsequio de @Ryanair retraso anunciado 25 min #hayquejoderse"
25.79721,-109.00472,"@BetoSierra_ aqui estoy en una casa que esta por esa calle pero esta todo plomo y la poka jente que ahi son fresonsisimos"
51.08906897,-0.71577597,"@charljohn @ChefTomKerridge"
38.5530419,-121.4045391,"Your just a pretty face"
51.160038,-0.179504,"Now we at da gate. Waitin to flyyyy #awyis"
-23.3139951,-52.3083352,"Ja vai da 07:00 e o sono ::::: nada :///"
29.7557361,-94.9297476,"chilli.g"
-6.1883,106.82302,"Di rumah sepi bet!!!!"
34.047691,-118.249425,"#happybirthday @missabbeyroe (@ The Crocker Club) http://t.co/v9Qj22z9"
32.22796585,-110.91344813,"@Carolinahdezz Cuando te vas😞👎?"
37.2762385,-80.0028277,"Lobby boy pistol n my cargo pants, yes homie I'm bout that life"
1.34968294,103.75025158,"Tried to take into into WM's new cinema but damn! There's a security guard outside of the place and workers are still working today"
40.94920653,-73.81436937,"Wow that's bad"
30.4011963,-97.6541772,"Madison on 5th you have officially pissed me off."
-6.27027212,106.84409439,"Iyaa nanti disalamin chy :) jln brglah "@chyuchy: Uncle jalan mulu wooo.. Salam ya untuk"
35.705708,139.741661,"ツイット略してザーメンって言うのは蒼空用大型店舗の近さだけで高校男子がモテる男の人ってそんなに親はアホなのって"
-5.15985901,119.44785647,"N “@TruthorDareMks: (Truth) dari keempat admin kt sukanya sama yang mana? #ToDmks”"
35.86610819,139.62801277,"娘のお迎え〜 (@ アテナアクアメイツ) http://t.co/TwAURHpO"
-6.5994053,106.8442453,"@wisnuianl @abolnarya lu aja :F"
37.35727512,-121.83830615,"I need a massage. Oh daaaaaad."
-29.08308791,26.20078977,"@therealpsyfo how do we get our stuff out to Sid.?? Via E-mail Yeah?"
34.98738387,136.60152849,"I'm at 天然温泉 ユラックス (四日市市, 三重県) http://t.co/QJgCqvtx"
27.3214448,-98.6740364,"Bought some Nike sweats but left them in #oomf car 😔"
27.45258,-82.46353,""@SeekingAlpha: JPMorgan Chase: World's Best Universal Bank http://t.co/cwr67spe $JPM""
51.48231237,-3.17336603,"Time for breakfast, then home to #Cornwall to help prepare @Thecybb for their Easter Course with @plcmusic"
44.95324612,-93.32780038,"I love snuggling"
40.98303831,28.84838254,"@KIRAT57 :))) babam ayakta odadan çıkamıyorum korkudan;)"
41.7278605,-81.2645289,"Loll."
-6.469248,106.8134307,"Udh lama ga nntn ISL =D akakaka"
-7.56654451,110.80751538,"I'm at Solo Grand Mall (Surakarta, Jawa Tengah) w/ 2 others http://t.co/zDvYcDL8"
-20.30633684,-40.3164907,"Já to pronto p surf, só esperando meu pai"
39.73018325,-90.26946013,"@hmh_622 I accidentally picked French for this one -_____-"
29.56455206,-95.39824245,"Iiiigggglllooooo.. Igloo"
57.15442311,24.85321948,"Рига,обойти бы тебя стороной"
41.02340571,29.02457891,"Günaydın :)"
51.36270807,-1.28312939,"@SimonWooldridge got your shoes?"
32.4318054,-93.776707,"But still tweeting"
39.9186014,-75.3869931,"Who still up rt"
-6.2558875,106.81277275,"Leha.. Leha.. (@ La Codefin) http://t.co/J4I8JMqZ"
32.9413653,-96.7473514,"@KellyDivine hey babe"
33.34025245,-111.90751868,"ID RATHER HAVE A ZOMBIE ALPACALYPSE"
37.99482498,-122.31982269,"Ciroc booty😱"
38.15648097,-87.5514376,"Lol Shaq mean as fuck! RTRT“@ShKillz: YESSS ! “@KemarRozay: Just can't believe my iPhone screen broke 😒””"
51.36393179,-0.28984573,"Didn't the birds migrate this year - apparently not as they are sat outside my window being obscenely noisy #morning"
-8.1195105,113.2301918,"Opo ae pi @ZelaSelvina: (σ`▽´)-σ RT @Candraferyandi: Aku grogi"@virdaCAN: Disimak lho ah @Candraferyandi: Tuh disamak2 "@virdaCAN: Guru apa?"
38.27251671,140.98816867,"@UVER_OTAKE_Vo @chikeeri あーなるほど。そりゃ〜足りないわ(￣ー￣)"
32.79207554,-83.70382977,"Its 4beds in thid house lol."
26.37365179,-81.59246304,"Drunk confessions, I have cheated in a relationship before but only cause that bitch was with three other guys while she was with me -.-"
30.45536443,-87.24217339,""@Kidd_AK47: Latif tryna be da hawg and shit" Lol , Yu Ruinin The Moment Bruh !"
-6.21020754,106.85006618,"Sindoro siap langsir menuju gambir (⌒˛⌒)‎​9 (@ Stasiun Manggarai) http://t.co/XeCnye0K"
43.0687713,141.3532463,"@kiukaibutu ずーるーいー(笑)"
32.51334452,-117.01179743,"No es de Dios >.< (@ El Pub De La Chapu w/ @i_karyee) [pic]: http://t.co/cW8mxbbH"
2.7191431,101.9957366,"@MuhdAliTyson sembang parpuuu."
